DISTRICT,Cluster,Very low density,Low density,Medium density,High density,Rural,Suburban/Small City,Urban
52,Rural,0.8234907530061715,0.1765092469938285,0,0,0.9736252164817663,0.021471203444932977,0.004903580073300785
53,Rural,0.691069724998963,0.308930275001037,0,0,0.5596739365525133,0.39309816823418464,0.04722789521330211
54,Rural,0.8839503962036084,0.11604960379639163,0,0,0.9963699783861495,0.0028331653447615335,7.968562690890855e-4
55,Rural,0.7762449611140518,0.17174966407427011,0.052005374811678,0,0.9283673373984881,0.05922883599446786,0.012403826607043986
56,Suburban/Small City,0.33668505133770055,0.40831226065083065,0.2206027782755577,0.03439990973591117,0.03843524611371931,0.9004369461338271,0.06112780775245354
57,Suburban/Small City,0.4292526673249681,0.48050384142963803,0.0902434912453939,0,0.030803395811113906,0.9477597224033568,0.02143688178552924
58,Suburban/Small City,0.5923619863876985,0.29492059490799094,0.11271741870431057,0,0.225105720931804,0.7276504856432571,0.04724379342493901
59,Suburban/Small City,0.4141377896247693,0.5060898093090014,0.07977240106622924,0,0.04515469657632918,0.9212903424734644,0.03355496095020646
6,Rural,0.8525719409798647,0.1474280590201353,0,0,0.9947941439192128,0.004151843827367676,0.0010540122534193985
60,Suburban/Small City,0.20153732324893128,0.5483311410720157,0.25013153567905294,0,0.090900272517753,0.6693448672637162,0.2397548602185308
61,Suburban/Small City,0.6295730298744038,0.27678780857067714,0.09363916155491901,0,0.36681430370106893,0.5810351694127384,0.05215052688619265
62,Rural,0.6618971827458331,0.23166603378765968,0.10643678346650723,0,0.5353760127199434,0.41233012253027196,0.052293864749784674
63,Urban,0.08151901945996998,0.3733551356418407,0.49571119459265156,0.04941465030553774,0.03973771393064258,0.14162854666734365,0.8186337394020138
64,Suburban/Small City,0.10415523663769455,0.8538303831826975,0.04201438017960787,0,0.16878593986084506,0.5619978543054563,0.2692162058336987
65,Urban,0.023044557767502714,0.3333283775144586,0.3172417894470793,0.3263852752709594,0.06950998910185999,0.21334240696039608,0.7171476039377439
66,Urban,0.19809516667291613,0.4067019135825615,0.3952029197445224,0,0.08128930744740294,0.4455947309835695,0.4731159615690275
67,Urban,0.0752346386795506,0.3546627213463406,0.33222756484349714,0.23787507513061168,0.06134344925389026,0.22911644179138754,0.7095401089547221
68,Suburban/Small City,0.28086482117599515,0.4657744285833145,0.2533607502406903,0,0.06520968580103823,0.7940626151518518,0.14072769904710997
69,Urban,0.025446679954594615,0.33366702121003566,0.6129101456011298,0.02797615323423995,0.030800140180391553,0.08579253035793503,0.8834073294616734
7,Suburban/Small City,0.6133349945713116,0.21567912001851094,0.13935710090240822,0.03162878450776926,0.3941699653314874,0.540054063710612,0.06577597095790044
70,Rural,0.9137581575606388,0.0862418424393612,0,0,0.9838484431232737,0.012358322923220935,0.003793233953505412
71,Rural,0.8294762728967716,0.17052372710322844,0,0,0.9798395161382711,0.016342542518083508,0.0038179413436453744
72,Rural,0.735260674478617,0.15415778687129347,0.11058153865008953,0,0.8258254196064351,0.1443217013246139,0.029852879068951118
73,Suburban/Small City,0.595553549745871,0.34658242265991857,0.057864027594210374,0,0.2088831277507603,0.7480594440531741,0.043057428196065485
74,Rural,0.8985297162973701,0.10147028370262995,0,0,0.9915915683960432,0.006498646942906904,0.0019097846610498692
75,Urban,0,0.044391691394658754,0.6588724035608309,0.29673590504451036,0.041623411778041255,0.07828853520277407,0.8800880530191846
76,Urban,0.1195666155444516,0.08601395141740464,0.5239598278335724,0.2704596052045713,0.034311580634448495,0.07375351199013967,0.8919349073754119
77,Urban,0.03722472859114599,0.16809838699709537,0.5008549121397524,0.29382197227200624,0.018346078567628824,0.04362028939429714,0.9380336320380741
78,Rural,0.8308657398793228,0.05240867246130264,0.11672558765937464,0,0.9300557580402998,0.05330299136825468,0.0166412505914456
79,Urban,0,0,0.6134336815135988,0.3865663184864013,0.06445497985234265,0.11427289883993867,0.8212721213077188
8,Suburban/Small City,0.48520964191764643,0.27203790197025823,0.24275245611209534,0,0.1035610374803025,0.8279085393341227,0.06853042318557485
80,Rural,0.849771194036892,0.15022880596310798,0,0,0.9936838297689351,0.005047237161410272,0.0012689330696546834
81,Suburban/Small City,0.39670651825385916,0.468553891255554,0.13473959049058679,0,0.020265828618561344,0.9616249816264021,0.018109189755036545
82,Rural,0.8021199203727057,0.19788007962729423,0,0,0.942496942674049,0.04753301351511149,0.009970043810839494
83,Rural,0.8371445565102947,0.16285544348970526,0,0,0.9863297091050546,0.011021401568310633,0.0026488893266348617
84,Rural,0.9308183307931196,0.06918166920688035,0,0,0.9726039183701192,0.020732486287211253,0.006663595342669585
85,Rural,0.7447576968931903,0.25524230310680973,0,0,0.7836927684204411,0.18626758764616386,0.03003964393339496
86,Rural,0.7122402432843385,0.28775975671566145,0,0,0.6523151632733146,0.3061486725884736,0.04153616413821181
87,Rural,0.9035592687295749,0.09644073127042511,0,0,0.9893131861723599,0.008232008152926922,0.0024548056747131512
88,Urban,0.2780646170695455,0.079236094813424085,0.49953062661347103,0.14316866150355942,0.0931837822362656,0.20561572016292942,0.701200497600805
89,Rural,0.6932868196252069,0.30671318037479317,0,0,0.569422048138512,0.3838552461723079,0.04672270568918009
9,Suburban/Small City,0.6021860432264444,0.292078683429863,0.1057352733436926,0,0.2576734663464677,0.6933938249729976,0.04893270868053461
90,Rural,0.8514394901738916,0.1485605098261083,0,0,0.9943668551104363,0.004496179560724959,0.0011369653288387466
91,Rural,1,0,0,0,0.9123200499008368,0.06363659118363066,0.024043358915532616
92,Rural,0.9609826007842127,0.03901739921578731,0,0,0.9482311258815626,0.03844724044070952,0.013321633677727927
93,Rural,1,0,0,0,0.9123200499008368,0.06363659118363066,0.024043358915532616
94,Rural,0.9628029203500902,0,0.037197079649909835,0,0.9268386863030853,0.0533698403641806,0.019791473332734018
95,Rural,0.9562781835503334,0.04372181644966656,0,0,0.9523066439736738,0.035522454600459004,0.012170901425867176
96,Rural,1,0,0,0,0.9123200499008368,0.06363659118363066,0.024043358915532616
97,Rural,0.9680343245602631,0.031965675439736996,0,0,0.941984421320778,0.04290294104362393,0.015112637635598032
98,Suburban/Small City,0.6060257984446997,0.3939742015553003,0,0,0.24568880782681843,0.7040383555604188,0.05027283661276267
99,Rural,1,0,0,0,0.9123200499008368,0.06363659118363066,0.024043358915532616
